"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2022","First time applicant","18","Woman","Scotland","1010"
"2023","First time applicant","18","Woman","Scotland","900"
"2024","First time applicant","18","Woman","Scotland","770"
"2025","First time applicant","18","Woman","Scotland","910"
"2026","First time applicant","18","Woman","Scotland","990"
"2017","Reapplier","18","Woman","Scotland","10"
"2018","Reapplier","18","Woman","Scotland","10"
"2021","Reapplier","18","Woman","Scotland","10"
"2022","Reapplier","18","Woman","Scotland","10"
"2023","Reapplier","18","Woman","Scotland","10"
"2024","Reapplier","18","Woman","Scotland","10"
"2025","Reapplier","18","Woman","Scotland","10"
"2026","Reapplier","18","Woman","Scotland","10"
"2017","First time applicant","19","Woman","Scotland","100"
"2018","First time applicant","19","Woman","Scotland","110"
"2019","First time applicant","19","Woman","Scotland","120"
"2020","First time applicant","19","Woman","Scotland","110"
"2021","First time applicant","19","Woman","Scotland","120"
"2022","First time applicant","19","Woman","Scotland","130"
"2023","First time applicant","19","Woman","Scotland","120"
"2024","First time applicant","19","Woman","Scotland","110"
"2025","First time applicant","19","Woman","Scotland","130"
"2026","First time applicant","19","Woman","Scotland","130"
"2017","Reapplier","19","Woman","Scotland","90"
"2018","Reapplier","19","Woman","Scotland","90"
"2019","Reapplier","19","Woman","Scotland","90"
"2020","Reapplier","19","Woman","Scotland","60"
"2021","Reapplier","19","Woman","Scotland","100"
"2022","Reapplier","19","Woman","Scotland","110"
"2023","Reapplier","19","Woman","Scotland","100"
"2024","Reapplier","19","Woman","Scotland","70"
"2025","Reapplier","19","Woman","Scotland","40"
"2026","Reapplier","19","Woman","Scotland","60"
"2017","First time applicant","20","Woman","Scotland","10"
"2018","First time applicant","20","Woman","Scotland","20"
"2019","First time applicant","20","Woman","Scotland","10"
"2020","First time applicant","20","Woman","Scotland","10"
"2021","First time applicant","20","Woman","Scotland","10"
"2022","First time applicant","20","Woman","Scotland","10"
"2023","First time applicant","20","Woman","Scotland","20"
"2024","First time applicant","20","Woman","Scotland","20"
"2025","First time applicant","20","Woman","Scotland","20"
"2026","First time applicant","20","Woman","Scotland","30"
"2017","Reapplier","20","Woman","Scotland","10"
"2018","Reapplier","20","Woman","Scotland","10"
"2019","Reapplier","20","Woman","Scotland","20"
"2020","Reapplier","20","Woman","Scotland","20"
"2021","Reapplier","20","Woman","Scotland","10"
"2022","Reapplier","20","Woman","Scotland","30"
"2023","Reapplier","20","Woman","Scotland","20"
"2024","Reapplier","20","Woman","Scotland","20"
